cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
1,1,0.97,1.030927835,1.091570649,1.020618557,0.9593814433,93.5,0.99,0.9306,-6.94
2,1.091570649,0.850175241,1.17622809,1.163430318,1.087807347,1.022538906,93.5,1.98,0.869337261,-13.0662739
3,1.163430318,0.814198791,1.228201283,1.205778128,1.127402549,1.059758397,93.5,2.97,0.8628540052,-13.71459948
4,1.205778128,0.791488044,1.263442964,1.236271053,1.155913435,1.086558629,93.5,3.96,0.8599981639,-14.00018361
5,1.236271053,0.774967501,1.290376692,1.260255278,1.178338685,1.107638364,93.5,4.95,0.8583837349,-14.16162651
6,1.260255278,0.76203204,1.31228078,1.280096377,1.196890113,1.125076706,93.5,5.94,0.8573444974,-14.26555026
7,1.280096377,0.751431147,1.330793918,1.297057223,1.212748504,1.139983594,93.5,6.93,0.8566191793,-14.33808207
8,1.297057223,0.742468659,1.346858198,1.311894258,1.226621131,1.153023863,93.5,7.92,0.8560840815,-14.39159185
9,1.311894258,0.734717683,1.36106701,1.325097608,1.238966264,1.164628288,93.5,8.91,0.8556729974,-14.43270026
10,1.325097608,0.727897856,1.373819131,1.337003573,1.250098341,1.17509244,93.5,9.9,0.8553472679,-14.46527321
11,1.337003573,0.721815337,1.385395888,1.347853215,1.260242756,1.184628191,93.5,10.89,0.8550827968,-14.49172032
12,1.347853215,0.716330633,1.396003401,1.357825404,1.269566752,1.193392747,93.5,11.88,0.8548637821,-14.51362179
13,1.357825404,0.711340086,1.405797339,1.367056624,1.278197943,1.201506067,93.5,12.87,0.8546794288,-14.53205712
14,1.367056624,0.706764609,1.414898238,1.375653458,1.286235984,1.209061825,93.5,13.86,0.8545221077,-14.54778923
15,1.375653458,0.702542524,1.423401383,1.383700776,1.293760225,1.216134612,93.5,14.85,0.8543862797,-14.56137203
16,1.383700776,0.698624819,1.431383445,1.391267284,1.300834911,1.222784816,93.5,15.84,0.8542678209,-14.57321791
17,1.391267284,0.694971916,1.438907065,1.398409415,1.307512803,1.229062035,93.5,16.83,0.8541635972,-14.58364028
18,1.398409415,0.691551412,1.446024088,1.405174096,1.31383778,1.235007513,93.5,17.82,0.8540711895,-14.59288105
19,1.405174096,0.688336446,1.452777934,1.411600787,1.319846736,1.240655932,93.5,18.81,0.853988695,-14.6011305
20,1.411600787,0.685304513,1.459205333,1.417722993,1.325570999,1.246036739,93.5,19.8,0.8539146005,-14.60853995
21,1.417722993,0.682436572,1.465337646,1.423569411,1.331037399,1.251175155,93.5,20.79,0.8538476839,-14.61523161
22,1.423569411,0.679716376,1.471201865,1.429164813,1.3362691,1.256092954,93.5,21.78,0.8537869507,-14.62130493
23,1.429164813,0.677129952,1.476821395,1.434530737,1.341286239,1.260809065,93.5,22.77,0.8537315816,-14.62684184
24,1.434530737,0.674665199,1.482216663,1.439686028,1.346106436,1.26534005,93.5,23.76,0.8536808968,-14.63191032
25,1.439686028,0.672311567,1.487405615,1.444647272,1.3507452,1.269700488,93.5,24.75,0.8536343244,-14.63656756
26,1.444647272,0.670059807,1.492404095,1.449429146,1.355216251,1.273903276,93.5,25.74,0.8535913834,-14.64086166
27,1.449429146,0.667901767,1.497226163,1.4540447,1.359531794,1.277959887,93.5,26.73,0.8535516665,-14.64483335
28,1.4540447,0.665830223,1.501884362,1.458505593,1.363702729,1.281880566,93.5,27.72,0.8535148229,-14.64851771
29,1.458505593,0.663838746,1.506389927,1.462822284,1.367738835,1.285674505,93.5,28.71,0.8534805513,-14.65194487
30,1.462822284,0.66192159,1.510752958,1.467004191,1.371648918,1.289349983,93.5,29.7,0.853448591,-14.6551409
31,1.467004191,0.6600736,1.514982572,1.471059828,1.375440939,1.292914482,93.5,30.69,0.8534187169,-14.65812831
32,1.471059828,0.658290132,1.519087028,1.474996915,1.379122115,1.296374788,93.5,31.68,0.8533907306,-14.66092694
33,1.474996915,0.65656699,1.52307383,1.478822477,1.382699016,1.299737075,93.5,32.67,0.8533644592,-14.66355408
34,1.478822477,0.654900369,1.526949819,1.482542924,1.386177634,1.303006976,93.5,33.66,0.8533397496,-14.66602504
35,1.482542924,0.653286809,1.530721249,1.486164123,1.389563455,1.306189647,93.5,34.65,0.8533164666,-14.66835334
36,1.486164123,0.651723153,1.534393853,1.489691453,1.392861508,1.309289818,93.5,35.64,0.8532944883,-14.67055117
37,1.489691453,0.650206518,1.537972894,1.493129865,1.396076424,1.312311838,93.5,36.63,0.853273711,-14.6726289
38,1.493129865,0.648734257,1.541463225,1.496483922,1.399212467,1.315259719,93.5,37.62,0.8532540368,-14.67459632
39,1.496483922,0.64730394,1.544869324,1.49975784,1.402273581,1.318137166,93.5,38.61,0.8532353809,-14.67646191
40,1.49975784,0.645913328,1.548195333,1.502955523,1.405263414,1.320947609,93.5,39.6,0.8532176661,-14.67823339
41,1.502955523,0.644560355,1.551445093,1.50608059,1.408185352,1.323694231,93.5,40.59,0.8532008233,-14.67991767
42,1.50608059,0.643243109,1.554622173,1.509136409,1.411042543,1.32637999,93.5,41.58,0.8531847885,-14.68152115
43,1.509136409,0.64195982,1.55772989,1.512126113,1.413837916,1.329007641,93.5,42.57,0.8531695059,-14.68304941
44,1.512126113,0.640708844,1.560771338,1.515052625,1.416574205,1.331579752,93.5,43.56,0.8531549238,-14.68450762
45,1.515052625,0.639488652,1.563749406,1.517918676,1.419253962,1.334098725,93.5,44.55,0.853140995,-14.6859005
46,1.517918676,0.63829782,1.566666795,1.520726821,1.421879578,1.336566803,93.5,45.54,0.8531276767,-14.68723233
47,1.520726821,0.637135018,1.569526037,1.523479455,1.42445329,1.338986093,93.5,46.53,0.8531149282,-14.68850718
48,1.523479455,0.635999006,1.572329501,1.526178823,1.4269772,1.341358568,93.5,47.52,0.8531027157,-14.68972843
49,1.526178823,0.634888622,1.575079416,1.528827038,1.429453281,1.343686084,93.5,48.51,0.8530910061,-14.69089939
50,1.528827038,0.633802775,1.577777882,1.531426086,1.43188339,1.345970387,93.5,49.5,0.8530797664,-14.69202336
51,1.531426086,0.632740446,1.580426866,1.533977838,1.434269279,1.348213122,93.5,50.49,0.8530689722,-14.69310278
52,1.533977838,0.631700672,1.583028235,1.53648406,1.436612596,1.350415841,93.5,51.48,0.853058594,-14.6941406
53,1.53648406,0.630682553,1.585583738,1.538946419,1.438914901,1.352580007,93.5,52.47,0.8530486122,-14.69513878
54,1.538946419,0.629685236,1.58809504,1.541366489,1.441177667,1.354707007,93.5,53.46,0.8530390015,-14.69609985
55,1.541366489,0.628707919,1.59056371,1.543745762,1.443402288,1.35679815,93.5,54.45,0.8530297417,-14.69702583
56,1.543745762,0.627749847,1.592991229,1.546085651,1.445590084,1.358854679,93.5,55.44,0.8530208167,-14.69791833
57,1.546085651,0.626810302,1.595379011,1.548387495,1.447742308,1.360877769,93.5,56.43,0.8530122057,-14.69877943
58,1.548387495,0.625888608,1.597728393,1.550652565,1.449860149,1.36286854,93.5,57.42,0.8530038932,-14.69961068
59,1.550652565,0.624984124,1.600040644,1.55288207,1.451944735,1.364828051,93.5,58.41,0.852995864,-14.7004136
60,1.55288207,0.624096243,1.602316968,1.555077157,1.453997141,1.366757313,93.5,59.4,0.8529881041,-14.70118959
61,1.555077157,0.623224389,1.604558515,1.557238919,1.456018389,1.368657286,93.5,60.39,0.8529806007,-14.70193993
62,1.557238919,0.622368014,1.606766379,1.559368397,1.458009452,1.370528884,93.5,61.38,0.85297334,-14.702666
63,1.559368397,0.621526599,1.608941599,1.561466585,1.459971257,1.372372981,93.5,62.37,0.8529663115,-14.70336885
64,1.561466585,0.620699649,1.611085171,1.563534427,1.461904689,1.374190408,93.5,63.36,0.8529595037,-14.70404963
65,1.563534427,0.619886694,1.61319804,1.565572828,1.463810594,1.375981958,93.5,64.35,0.8529529071,-14.70470929
66,1.565572828,0.619087285,1.615281115,1.567582651,1.465689779,1.377748392,93.5,65.34,0.8529465113,-14.70534887
67,1.567582651,0.618300994,1.617335262,1.569564722,1.467543015,1.379490434,93.5,66.33,0.8529403064,-14.70596936
68,1.569564722,0.617527415,1.619361304,1.571519829,1.46937104,1.381208778,93.5,67.32,0.8529342863,-14.70657137
69,1.571519829,0.616766157,1.621360038,1.57344873,1.471174563,1.382904089,93.5,68.31,0.8529284405,-14.70715595
70,1.57344873,0.616016849,1.623332222,1.575352149,1.472954259,1.384577003,93.5,69.3,0.8529227628,-14.70772372
71,1.575352149,0.615279136,1.625278579,1.577230778,1.474710778,1.386228131,93.5,70.29,0.8529172467,-14.70827533
72,1.577230778,0.614552676,1.627199814,1.579085285,1.476444742,1.387858057,93.5,71.28,0.8529118829,-14.70881171
73,1.579085285,0.613837146,1.629096588,1.580916308,1.478156748,1.389467343,93.5,72.27,0.8529066684,-14.70933316
74,1.580916308,0.613132232,1.630969549,1.582724461,1.479847371,1.391056528,93.5,73.26,0.8529015941,-14.70984059
75,1.582724461,0.612437637,1.63281931,1.584510332,1.481517161,1.392626131,93.5,74.25,0.8528966569,-14.71033431
76,1.584510332,0.611753074,1.634646465,1.58627449,1.483166648,1.394176649,93.5,75.24,0.8528918507,-14.71081493
77,1.58627449,0.611078267,1.636451587,1.588017478,1.484796342,1.395708561,93.5,76.23,0.8528871689,-14.71128311
78,1.588017478,0.610412953,1.638235223,1.589739821,1.486406733,1.397222329,93.5,77.22,0.8528826077,-14.71173923
79,1.589739821,0.609756878,1.639997901,1.591442025,1.487998293,1.398718395,93.5,78.21,0.852878162,-14.7121838
80,1.591442025,0.6091098,1.641740126,1.593124575,1.489571477,1.400197189,93.5,79.2,0.8528738295,-14.71261705
81,1.593124575,0.608471483,1.643462394,1.59478794,1.491126724,1.40165912,93.5,80.19,0.8528696035,-14.71303965
82,1.59478794,0.607841702,1.645165175,1.596432572,1.492664455,1.403104587,93.5,81.18,0.8528654805,-14.71345195
83,1.596432572,0.607220241,1.646848923,1.598058907,1.494185078,1.404533973,93.5,82.17,0.8528614578,-14.71385422
84,1.598058907,0.606606891,1.648514079,1.599667366,1.495688987,1.405947648,93.5,83.16,0.8528575316,-14.71424684
85,1.599667366,0.60600145,1.650161068,1.601258355,1.497176562,1.407345968,93.5,84.15,0.8528536972,-14.71463028
86,1.601258355,0.605403725,1.651790299,1.602832265,1.498648168,1.408729278,93.5,85.14,0.8528499525,-14.71500475
87,1.602832265,0.60481353,1.653402165,1.604389477,1.500104161,1.410097911,93.5,86.13,0.8528462955,-14.71537045
88,1.604389477,0.604230683,1.654997054,1.605930356,1.501544883,1.41145219,93.5,87.12,0.8528427208,-14.71572792
89,1.605930356,0.603655011,1.656575332,1.607455257,1.502970665,1.412792425,93.5,88.11,0.852839227,-14.7160773
90,1.607455257,0.603086346,1.658137357,1.608964522,1.504381828,1.414118918,93.5,89.1,0.8528358112,-14.71641888
91,1.608964522,0.602524526,1.659683477,1.610458483,1.505778681,1.41543196,93.5,90.09,0.852832471,-14.7167529
92,1.610458483,0.601969394,1.661214025,1.61193746,1.507161525,1.416731834,93.5,91.08,0.8528292035,-14.71707965
93,1.61193746,0.601420799,1.662729326,1.613401766,1.508530651,1.418018812,93.5,92.07,0.852826007,-14.7173993
94,1.613401766,0.600878594,1.664229696,1.614851701,1.50988634,1.41929316,93.5,93.06,0.8528228782,-14.71771218
95,1.614851701,0.600342637,1.66571544,1.616287556,1.511228865,1.420555133,93.5,94.05,0.8528198145,-14.71801855
96,1.616287556,0.599812793,1.667186848,1.617709615,1.51255849,1.421804981,93.5,95.04,0.8528168166,-14.71831834
97,1.617709615,0.599288928,1.66864421,1.619118153,1.513875473,1.423042944,93.5,96.03,0.8528138806,-14.71861194
98,1.619118153,0.598770913,1.670087805,1.620513434,1.515180061,1.424269258,93.5,97.02,0.8528110037,-14.71889963
99,1.620513434,0.598258625,1.671517899,1.621895719,1.516472497,1.425484147,93.5,98.01,0.8528081859,-14.71918141
100,1.621895719,0.597751943,1.672934754,1.623265257,1.517753015,1.426687834,93.5,99,0.8528054248,-14.71945752
101,1.623265257,0.597250749,1.674338629,1.624622291,1.519021842,1.427880532,93.5,99.99,0.852802717,-14.7197283
102,1.624622291,0.596754932,1.675729762,1.625967059,1.5202792,1.429062448,93.5,100.98,0.8528000638,-14.71999362
103,1.625967059,0.596264381,1.677108397,1.627299789,1.521525303,1.430233784,93.5,101.97,0.8527974622,-14.72025378
104,1.627299789,0.59577899,1.678474765,1.628620705,1.522760359,1.431394738,93.5,102.96,0.8527949112,-14.72050888
105,1.628620705,0.595298655,1.679829094,1.629930024,1.523984573,1.432545498,93.5,103.95,0.8527924085,-14.72075915
106,1.629930024,0.594823276,1.681171602,1.631227957,1.52519814,1.433686252,93.5,104.94,0.8527899531,-14.72100469
107,1.631227957,0.594352756,1.682502504,1.63251471,1.526401253,1.434817178,93.5,105.93,0.8527875442,-14.72124558
108,1.63251471,0.593886999,1.683822009,1.63379048,1.527594099,1.435938453,93.5,106.92,0.8527851786,-14.72148214
109,1.63379048,0.593425915,1.685130317,1.635055464,1.528776858,1.437050247,93.5,107.91,0.8527828577,-14.72171423
110,1.635055464,0.592969414,1.686427624,1.636309849,1.529949709,1.438152726,93.5,108.9,0.8527805792,-14.72194208
111,1.636309849,0.592517409,1.687714124,1.63755382,1.531112822,1.439246052,93.5,109.89,0.8527783418,-14.72216582
112,1.63755382,0.592069816,1.688990002,1.638787556,1.532266365,1.440330383,93.5,110.88,0.8527761449,-14.72238551
113,1.638787556,0.591626552,1.690255443,1.640011232,1.533410502,1.441405872,93.5,111.87,0.8527739859,-14.72260141
114,1.640011232,0.591187538,1.691510622,1.641225017,1.534545391,1.442472668,93.5,112.86,0.8527718651,-14.72281349
115,1.641225017,0.590752697,1.692755708,1.642429078,1.535671188,1.443530917,93.5,113.85,0.8527697824,-14.72302176
116,1.642429078,0.590321952,1.693990875,1.643623576,1.536788044,1.444580761,93.5,114.84,0.8527677348,-14.72322652
117,1.643623576,0.58989523,1.695216284,1.644808669,1.537896105,1.445622339,93.5,115.83,0.8527657221,-14.72342779
118,1.644808669,0.58947246,1.696432095,1.645984509,1.538995516,1.446655785,93.5,116.82,0.8527637445,-14.72362555
119,1.645984509,0.589053572,1.697638462,1.647151248,1.540086416,1.447681231,93.5,117.81,0.8527618005,-14.72381995
120,1.647151248,0.588638497,1.698835542,1.64830903,1.541168943,1.448698806,93.5,118.8,0.852759888,-14.7240112
121,1.64830903,0.58822717,1.700023479,1.649457999,1.542243229,1.449708635,93.5,119.79,0.8527580078,-14.72419922
122,1.649457999,0.587819525,1.701202423,1.650598294,1.543309404,1.45071084,93.5,120.78,0.852756157,-14.7243843
123,1.650598294,0.587415501,1.702372509,1.65173005,1.544367597,1.451705541,93.5,121.77,0.8527543376,-14.72456624
124,1.65173005,0.587015036,1.703533877,1.6528534,1.545417929,1.452692854,93.5,122.76,0.8527525478,-14.72474522
125,1.6528534,0.58661807,1.704686663,1.653968475,1.546460524,1.453672893,93.5,123.75,0.8527507866,-14.72492134
126,1.653968475,0.586224545,1.705830997,1.655075399,1.547495499,1.454645769,93.5,124.74,0.8527490538,-14.72509462
127,1.655075399,0.585834403,1.706967011,1.656174298,1.548522969,1.455611591,93.5,125.73,0.8527473472,-14.72526528
128,1.656174298,0.58544759,1.708094827,1.657265291,1.549543047,1.456570465,93.5,126.72,0.8527456681,-14.72543319
129,1.657265291,0.585064051,1.709214569,1.658348497,1.550555845,1.457522494,93.5,127.71,0.8527440149,-14.72559851
130,1.658348497,0.584683734,1.710326356,1.659424031,1.551561469,1.458467781,93.5,128.7,0.8527423881,-14.72576119
131,1.659424031,0.584306586,1.711430307,1.660492006,1.552560026,1.459406424,93.5,129.69,0.8527407852,-14.72592148
132,1.660492006,0.583932557,1.712526538,1.661552532,1.553551617,1.46033852,93.5,130.68,0.8527392062,-14.72607938
133,1.661552532,0.583561599,1.713615155,1.662605717,1.554536345,1.461264164,93.5,131.67,0.8527376523,-14.72623477
134,1.662605717,0.583193663,1.714696272,1.663651666,1.555514308,1.462183449,93.5,132.66,0.8527361217,-14.72638783
135,1.663651666,0.582828701,1.715769999,1.664690483,1.556485601,1.463096465,93.5,133.65,0.8527346123,-14.72653877
136,1.664690483,0.582466669,1.716836436,1.665722268,1.557450321,1.464003302,93.5,134.64,0.8527331265,-14.72668735
137,1.665722268,0.582107521,1.717895688,1.666747121,1.558408558,1.464904045,93.5,135.63,0.852731662,-14.7268338
138,1.666747121,0.581751213,1.718947855,1.667765138,1.559360404,1.46579878,93.5,136.62,0.8527302183,-14.72697817
139,1.667765138,0.581397703,1.719993035,1.668776414,1.560305947,1.46668759,93.5,137.61,0.852728796,-14.7271204
140,1.668776414,0.581046948,1.721031327,1.669781041,1.561245274,1.467570557,93.5,138.6,0.8527273933,-14.72726067
141,1.669781041,0.580698909,1.722062819,1.670779111,1.562178469,1.468447761,93.5,139.59,0.8527260126,-14.72739874
142,1.670779111,0.580353543,1.723087611,1.671770712,1.563105616,1.469319279,93.5,140.58,0.8527246492,-14.72753508
143,1.671770712,0.580010813,1.724105788,1.672755931,1.564026796,1.470185188,93.5,141.57,0.8527233061,-14.72766939
144,1.672755931,0.57967068,1.725117441,1.673734854,1.564942088,1.471045563,93.5,142.56,0.8527219818,-14.72780182
145,1.673734854,0.579333105,1.72612266,1.674707564,1.565851572,1.471900478,93.5,143.55,0.852720674,-14.7279326
146,1.674707564,0.578998054,1.727121522,1.675674142,1.566755323,1.472750004,93.5,144.54,0.8527193862,-14.72806138
147,1.675674142,0.578665489,1.728114116,1.676634671,1.567653417,1.473594212,93.5,145.53,0.8527181153,-14.72818847
148,1.676634671,0.578335375,1.729100524,1.677589227,1.568545927,1.474433172,93.5,146.52,0.8527168612,-14.72831388
149,1.677589227,0.578007678,1.730080824,1.678537888,1.569432925,1.47526695,93.5,147.51,0.8527156242,-14.72843758
150,1.678537888,0.577682364,1.731055096,1.67948073,1.570314483,1.476095614,93.5,148.5,0.8527144037,-14.72855963
151,1.67948073,0.5773594,1.732023416,1.680417827,1.571190669,1.476919229,93.5,149.49,0.8527131996,-14.72868004
152,1.680417827,0.577038754,1.732985858,1.681349252,1.572061551,1.477737858,93.5,150.48,0.8527120122,-14.72879878
153,1.681349252,0.576720393,1.7339425,1.682275076,1.572927196,1.478551564,93.5,151.47,0.8527108392,-14.72891608
154,1.682275076,0.576404287,1.734893412,1.683195369,1.57378767,1.47936041,93.5,152.46,0.8527096821,-14.72903179
155,1.683195369,0.576090405,1.735838666,1.684110199,1.574643036,1.480164454,93.5,153.45,0.8527085398,-14.72914602
156,1.684110199,0.575778717,1.736778332,1.685019635,1.575493358,1.480963757,93.5,154.44,0.8527074119,-14.72925881
157,1.685019635,0.575469194,1.73771248,1.685923741,1.576338698,1.481758376,93.5,155.43,0.8527062985,-14.72937015
158,1.685923741,0.575161807,1.738641175,1.686822584,1.577179116,1.482548369,93.5,156.42,0.8527051989,-14.72948011
159,1.686822584,0.574856528,1.739564485,1.687716226,1.578014672,1.483333791,93.5,157.41,0.8527041132,-14.72958868
160,1.687716226,0.57455333,1.740482472,1.688604731,1.578845424,1.484114698,93.5,158.4,0.852703042,-14.7296958
161,1.688604731,0.574252185,1.741395203,1.68948816,1.579671429,1.484891143,93.5,159.39,0.8527019836,-14.72980164
162,1.68948816,0.573953066,1.742302741,1.690366572,1.580492745,1.48566318,93.5,160.38,0.8527009373,-14.72990627
163,1.690366572,0.573655949,1.743205142,1.691240028,1.581309426,1.48643086,93.5,161.37,0.8526999058,-14.73000942
164,1.691240028,0.573360806,1.744102474,1.692108584,1.582121526,1.487194235,93.5,162.36,0.8526988852,-14.73011148
165,1.692108584,0.573067614,1.744994789,1.6929723,1.5829291,1.487953354,93.5,163.35,0.8526978785,-14.73021215
166,1.6929723,0.572776347,1.74588215,1.69383123,1.5837322,1.488708268,93.5,164.34,0.8526968833,-14.73031167
167,1.69383123,0.572486981,1.746764613,1.694685429,1.584530876,1.489459024,93.5,165.33,0.8526958998,-14.73041002
